date,Total Nonfinancial,Households and Nonprofits,Nonfinancial Business,Federal Government,State and Local Governments,GDP,Total Nonfinancial Debt Growth,Households and Nonprofits Debt Growth,Nonfinancial Business Debt Growth,Federal Government Debt Growth,State and Local Governments Debt Growth,Nonfinancial Corporate Business,Nonfinancial Noncorporate Business,Noncorporate Business; Nonmortgage Depository Loans,Noncorporate Business; Mortgages,Noncorporate Business; Other,Corporate Business; Corporate Bonds,Corporate Business; Nonmortgage Depository Loans,Corporate Business; Mortgages,Corporate Business; Commercial Paper,Corporate Business; Other,Total Nonfinancial; Percent of GDP,Households and Nonprofits; Percent of GDP,Nonfinancial Business; Percent of GDP,Federal Government; Percent of GDP,State and Local Governments; Percent of GDP,Nonfinancial Corporate Business; Percent of GDP,Nonfinancial Noncorporate Business; Percent of GDP,Noncorporate Nonmortgage Depository Loans; Percent of GDP,Noncorporate Mortgages; Percent of GDP,Noncorporate Other Nonfinancial Debt; Percent of GDP,Corporate Bonds; Percent of GDP,Corporate Nonmortgage Depository Loans; Percent of GDP,Corporate Mortgages; Percent of GDP,Corporate Commercial Paper; Percent of GDP,Corporate Other; Percent of GDP,Households and Nonprofits; Share of Total Nonfinancial Debt,Nonfinancial Business; Share of Total Nonfinancial Debt,Federal Governments; Share of Total Nonfinancial Debt,State and Local Governments; Share of Total Nonfinancial Debt,Nonfinancial Corporate Business; Share of Total Nonfinancial Business Debt,Nonfinancial Noncorporate Business; Share of Total Nonfinancial Business Debt,Noncorporate Nonmortgage Depository Loans; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Mortgages; Share of Nonfinancial Noncorporate Business Debt,Noncorporate Other; Share of Nonfinancial Noncorporate Business Debt,Corporate Bonds; Share of Nonfinancial Corporate Business Debt,Corporate Nonmortgage Depository Loans; Share of Nonfinancial Corporate Business Debt,Corporate Mortgages; Share of Nonfinancial Corporate Business Debt,Corporate Commercial Paper; Share of Nonfinancial Corporate Business Debt,Corporate Other; Share of Nonfinancial Corporate Business Debt
2025:Q3,79670639,20692857,22080054,33238519,3659209,31095089,8.788,4.073,3.929,15.498,5.491,14132492,7947561,1722155,5722940,502467,7320501,1123628,1469538,261062,3957763,256.2,66.5,71,106.9,11.8,45.4,25.6,5.5,18.4,1.6,23.5,3.6,4.7,0.8,12.7,0.26,0.277,0.417,0.046,0.64,0.36,0.217,0.72,0.063,0.518,0.08,0.104,0.018,0.28
2025:Q2,77959215,20485468,21865381,31998709,3609657,30485729,3.141,3.917,3.988,1.478,8.48,13975179,7890202,1730234,5659512,500456,7236151,1115707,1444555,280469,3898297,255.7,67.2,71.7,105,11.8,45.8,25.9,5.7,18.6,1.6,23.7,3.7,4.7,0.9,12.8,0.263,0.28,0.41,0.046,0.639,0.361,0.219,0.717,0.063,0.518,0.08,0.103,0.02,0.279
2025:Q1,77433725,20339616,21678474,31880912,3534723,30042113,3.49,1.851,5.137,3.342,4.2,13847420,7831054,1722151,5611190,497713,7291157,1084362,1423522,232796,3815583,257.8,67.7,72.2,106.1,11.8,46.1,26.1,5.7,18.7,1.7,24.3,3.6,4.7,0.8,12.7,0.263,0.28,0.412,0.046,0.639,0.361,0.22,0.717,0.064,0.527,0.078,0.103,0.017,0.276
2024:Q4,76861076,20253029,21493330,31616718,3497999,29825182,4.2,3.317,0.922,7.649,-1.028,13710724,7782606,1711985,5572604,498017,7178587,1156854,1407497,196313,3771473,257.7,67.9,72.1,106,11.7,46,26.1,5.7,18.7,1.7,24.1,3.9,4.7,0.7,12.6,0.264,0.28,0.411,0.046,0.638,0.362,0.22,0.716,0.064,0.524,0.084,0.103,0.014,0.275
2024:Q3,76462501,20366245,21565804,31023437,3507015,29511664,5.667,2.976,3.283,9.357,3.808,13846060,7719743,1702041,5528573,489129,7203254,1273048,1410038,192424,3767296,259.1,69,73.1,105.1,11.9,46.9,26.2,5.8,18.7,1.7,24.4,4.3,4.8,0.7,12.8,0.266,0.282,0.406,0.046,0.642,0.358,0.22,0.716,0.063,0.52,0.092,0.102,0.014,0.272
2024:Q2,75395399,20216840,21390294,30314320,3473944,29147044,3.743,2.857,4.013,3.906,5.837,13721094,7669200,1702000,5486468,480732,7094093,1286234,1390641,233995,3716131,258.7,69.4,73.4,104,11.9,47.1,26.3,5.8,18.8,1.6,24.3,4.4,4.8,0.8,12.7,0.268,0.284,0.402,0.046,0.641,0.359,0.222,0.715,0.063,0.517,0.094,0.101,0.017,0.271
2024:Q1,74698521,20074366,21179041,30021136,3423978,28708161,5.049,3.109,3.957,7.456,2.298,13554635,7624405,1697689,5456053,470663,7028736,1253983,1384710,238620,3648586,260.2,69.9,73.8,104.6,11.9,47.2,26.6,5.9,19,1.6,24.5,4.4,4.8,0.8,12.7,0.269,0.284,0.402,0.046,0.64,0.36,0.223,0.716,0.062,0.519,0.093,0.102,0.018,0.269
2023:Q4,73768328,19920433,20971661,29471810,3404424,28424722,4.438,2.222,0.621,9.394,-1.098,13385390,7586271,1703372,5410364,472535,6923942,1243868,1369553,217959,3630068,259.5,70.1,73.8,103.7,12,47.1,26.7,6,19,1.7,24.4,4.4,4.8,0.8,12.8,0.27,0.284,0.4,0.046,0.638,0.362,0.225,0.713,0.062,0.517,0.093,0.102,0.016,0.271
2023:Q3,72961985,19811355,20941288,28795543,3413798,28074846,6.053,3.124,1.201,12.489,-0.051,13388386,7552902,1697653,5383655,471594,6913658,1254880,1358229,199762,3661857,259.9,70.6,74.6,102.6,12.2,47.7,26.9,6,19.2,1.7,24.6,4.5,4.8,0.7,13,0.272,0.287,0.395,0.047,0.639,0.361,0.225,0.713,0.062,0.516,0.094,0.101,0.015,0.274
2023:Q2,71875947,19659283,20878725,27923706,3414233,27530055,5.32,3.069,1.498,10.258,2.072,13355705,7523019,1716894,5339619,466506,6909704,1269014,1347389,184900,3644698,261.1,71.4,75.8,101.4,12.4,48.5,27.3,6.2,19.4,1.7,25.1,4.6,4.9,0.7,13.2,0.274,0.29,0.388,0.048,0.64,0.36,0.228,0.71,0.062,0.517,0.095,0.101,0.014,0.273
2023:Q1,70933439,19510385,20800898,27225515,3396641,27216445,4.139,2.456,4.359,5.573,1.059,13309194,7491704,1726844,5288934,475925,6885222,1267899,1343932,179606,3632535,260.6,71.7,76.4,100,12.5,48.9,27.5,6.3,19.4,1.7,25.3,4.7,4.9,0.7,13.3,0.275,0.293,0.384,0.048,0.64,0.36,0.231,0.706,0.064,0.517,0.095,0.101,0.013,0.273
2022:Q4,70207860,19392091,20576723,26851376,3387670,26770514,2.903,3.02,3.246,3.53,-4.672,13155010,7421713,1712115,5233956,475642,6742080,1257260,1317117,197553,3641000,262.3,72.4,76.9,100.3,12.7,49.1,27.7,6.4,19.6,1.8,25.2,4.7,4.9,0.7,13.6,0.276,0.293,0.382,0.048,0.639,0.361,0.231,0.705,0.064,0.513,0.096,0.1,0.015,0.277
2022:Q3,69756338,19226338,20485822,26616474,3427704,26336304,5.179,6.25,4.014,5.97,0.105,13193851,7291971,1671035,5156021,464915,6746311,1237497,1298313,210574,3701156,264.9,73,77.8,101.1,13,50.1,27.7,6.3,19.6,1.8,25.6,4.7,4.9,0.8,14.1,0.276,0.294,0.382,0.049,0.644,0.356,0.229,0.707,0.064,0.511,0.094,0.098,0.016,0.281
2022:Q2,68865591,18931382,20282329,26225074,3426806,25861292,5.396,7.519,6.659,3.324,2.239,13109779,7172550,1630207,5083031,459311,6743322,1246632,1265287,168327,3686211,266.3,73.2,78.4,101.4,13.3,50.7,27.7,6.3,19.7,1.8,26.1,4.8,4.9,0.7,14.3,0.275,0.295,0.381,0.05,0.646,0.354,0.227,0.709,0.064,0.514,0.095,0.097,0.013,0.281
2022:Q1,67935456,18582955,19935824,26008949,3407728,25250347,8.599,8.36,7.466,11.136,-2.392,12904176,7031647,1593467,4987807,450374,6788109,1148133,1216001,133266,3618667,269,73.6,79,103,13.5,51.1,27.8,6.3,19.8,1.8,26.9,4.5,4.8,0.5,14.3,0.274,0.293,0.383,0.05,0.647,0.353,0.227,0.709,0.064,0.526,0.089,0.094,0.01,0.28
