"date","FL152090005.Q","FL152090006.Q","FL152000005.Q","FL152000006.Q","FL154190005.Q","FL154190006.Q","LM152010005.Q","LM152010006.Q","FL154090005.Q","FL154090006.Q","FL153165105.Q","FL153165106.Q","FL153166000.Q","FL153166006.Q","FL154199005.Q","FL154199006.Q","LM155035015.Q","LM155035016.Q","LM155111005.Q","LM155111006.Q","LM162010005.Q","LM162010006.Q","FL154000025.Q","FL154000026.Q","LM153064105.Q","LM153064106.Q","LM153064175.Q","LM153064176.Q","LM154022005.Q","LM154022006.Q","LM154022075.Q","LM154022076.Q","FL594190045.Q","FL594190046.Q","LM152090205.Q","LM152090206.Q","FL153099005.Q","FL153099006.Q","FC152090005.Q","FC153064475.Q","FC154022375.Q","FC155035005.Q","FC152090045.Q","FA156012005.Q"
"2025:Q3",181631598,791.58,202830301,883.97,21198704, 92.39,61596678,268.45,141233623,615.52,13640941,59.45,5042134,21.97,2515629,10.96,48035160,209.35,8533983,37.19,5027535,21.91,19851453,86.52,46000725,200.48,20486220,89.28,6133325,26.73,5882328,25.64,16536936, 72.07,15636035, 68.14,10706602,46.66, 6063987, 5494040, 357454, -287424,  573668,22945378
"2025:Q2",175567611,770.49,196539545,862.52,20971934, 92.04,61743152,270.96,134796393,591.56,13532783,59.39,4996313,21.93,2442838,10.72,48396336,212.39,8416937,36.94,4929879,21.63,19643106,86.20,41548956,182.34,19443948,85.33,5942389,26.08,5715810,25.08,16475509, 72.30,15549140, 68.24,10477535,45.98, 7153120, 5648350, 133281, 1082764,  227942,22786610
"2025:Q1",168414491,746.40,189226560,838.63,20812069, 92.24,60469745,268.00,128756815,570.64,13424733,59.50,4963381,22.00,2423955,10.74,47252789,209.42,8241123,36.52,4975833,22.05,19579717,86.78,37705653,167.11,17638903,78.17,5864728,25.99,5660190,25.09,16413710, 72.74,15569447, 69.00,10324468,45.76,-1012927,-2126126, 193758,  249557,  595214,22563684
"2024:Q4",169427418,761.49,190234749,855.01,20807331, 93.52,60080508,270.03,130154241,584.98,13381169,60.14,4948069,22.24,2478093,11.14,46928562,210.92,8111190,36.46,5040756,22.66,19200493,86.30,38996748,175.27,18473933,83.03,5822214,26.17,5508946,24.76,16353276, 73.50,15652173, 70.35,10146458,45.60,  708232,  588936,-171085, -349156,  677524,22249490
"2024:Q3",168719186,766.82,189578044,861.62,20858858, 94.80,60321812,274.16,129256232,587.46,13270171,60.31,5027784,22.85,2560903,11.64,47315706,215.05,8013381,36.42,4992725,22.69,18670267,84.85,38334815,174.23,18546930,84.29,5897879,26.81,5604366,25.47,16278816, 73.99,15567988, 70.76,10355171,47.06, 4057940, 3459353, 540366, -328950,  340877,22002574
"2024:Q2",164661246,753.83,185347428,848.54,20686182, 94.70,60592891,277.40,124754537,571.14,13161662,60.26,4980877,22.80,2543643,11.65,47598362,217.91,7968069,36.48,5026460,23.01,18460672,84.51,35820625,163.99,17601767,80.58,5636735,25.81,5325144,24.38,16203077, 74.18,15542355, 71.15,10164162,46.53, 3061288, 1039489, 192355, 1775710,  102561,21843210
"2024:Q1",161599958,749.00,182128084,844.15,20528126, 95.15,58773547,272.41,123354537,571.74,13055606,60.51,4956388,22.97,2516132,11.66,45871478,212.61,7935559,36.78,4966510,23.02,18612641,86.27,35007897,162.26,17375005,80.53,5463830,25.32,5305694,24.59,16128022, 74.75,15360122, 71.19,10101325,46.82, 5535613, 4189602,  38643, 1001863,  232439,21575360
"2023:Q4",156064345,737.26,176521014,833.90,20456669, 96.64,57680864,272.49,118840150,561.41,13017058,61.49,4988253,23.57,2451358,11.58,44796549,211.62,7856571,37.12,5027744,23.75,18341082,86.65,32241947,152.31,15951353,75.36,5566787,26.30,5164094,24.40,16052431, 75.83,15527043, 73.35, 9995412,47.22, 4091476, 4291444, 569001, -681813, -364950,21168040
"2023:Q3",151972870,727.33,172263828,824.44,20290958, 97.11,58328242,279.15,113935586,545.29,12925684,61.86,4927971,23.58,2437303,11.66,45200568,216.33,7831375,37.48,5296299,25.35,18075159,86.51,29464215,141.01,14437642,69.10,5232706,25.04,4929174,23.59,15940177, 76.29,16021158, 76.68, 9835355,47.07,-1213892,-1609151, -33322,  428617,  -57900,20894643
"2023:Q2",153186762,741.79,173297858,839.17,20111096, 97.39,57885149,280.30,115412709,558.87,12805697,62.01,4906700,23.76,2398699,11.62,44714088,216.52,7827846,37.91,5343215,25.87,18033785,87.33,30371702,147.07,15139306,73.31,5151562,24.95,5043640,24.42,15830196, 76.66,16012903, 77.54, 9829615,47.60, 5807888, 2632605,  86431, 2614249,  584309,20651019
"2023:Q1",147378874,726.60,167321402,824.92,19942528, 98.32,55171398,272.00,112150004,552.92,12710665,62.67,4852012,23.92,2379851,11.73,42209545,208.10,7735347,38.14,5226506,25.77,17999547,88.74,28599672,141.00,14278732,70.40,5119357,25.24,4989413,24.60,15718620, 77.50,15721491, 77.51, 9723172,47.94, 3520649, 2473419, 731104,  226139,   62432,20283389
"2022:Q4",143858225,736.94,163764793,838.91,19906568,101.97,54832175,280.89,108932618,558.03,12654093,64.82,4858468,24.89,2394007,12.26,41955852,214.93,7639315,39.13,5237008,26.83,18011374,92.27,26892506,137.76,13512478,69.22,4531080,23.21,4846586,24.83,15606440, 79.95,16006349, 82.00, 9525805,48.80,  977172, 2262221, 869412,-1039599,-1188856,19521072
"2022:Q3",142881053,746.86,162577218,849.82,19696165,102.95,55793573,291.64,106783645,558.17,12510189,65.39,4754314,24.85,2431662,12.71,42921457,224.36,7571492,39.58,5300624,27.71,18187334,95.07,25597496,133.80,12545267,65.58,3680787,19.24,4827467,25.23,15934420, 83.29,16426721, 85.86, 9584153,50.10,-3616053,-1877991, 260995,-1311770, -661056,19130892
"2022:Q2",146497106,786.95,165870660,891.02,19373554,104.07,56935229,305.84,108935431,585.18,12305715,66.10,4659127,25.03,2408712,12.94,44259458,237.75,7413998,39.83,5261773,28.27,18300198,98.30,26633800,143.07,13386954,71.91,3150148,16.92,5097111,27.38,16265419, 87.37,16474377, 88.50, 9627424,51.72,-5804566,-7988353,-227423, 2368876,  117349,18615769
"2022:Q1",152301672,828.88,171306254,932.31,19004582,103.43,54413842,296.14,116892412,636.17,12043988,65.55,4542220,24.72,2418374,13.16,41965597,228.39,7277835,39.61,5170410,28.14,18353060,99.88,31867826,173.44,16141281,87.85,2903812,15.80,5570870,30.32,16597495, 90.33,15796334, 85.97, 9661733,52.58,  600600,-2462111,-232497, 2743622,  517568,18374350
"2021:Q4",151701072,816.17,170409483,916.82,18708411,100.65,51375030,276.40,119034453,640.42,11814490,63.56,4512720,24.28,2381201,12.81,39187957,210.84,6995956,37.64,5191117,27.93,18054846,97.14,33023439,177.67,17447778,93.87,2784718,14.98,5922462,31.86,16927520, 91.07,15383674, 82.77, 9490016,51.06, 4219011, 2478146,-224217,  781060, 1320918,18586976
"2021:Q3",147482061,797.77,165805680,896.88,18323619, 99.12,50319322,272.19,115486358,624.69,11575735,62.62,4425093,23.94,2322791,12.56,38543793,208.49,6737179,36.44,5038350,27.25,17421035,94.23,31642524,171.16,16350548,88.44,3113319,16.84,5818077,31.47,16808330, 90.92,14920147, 80.71, 9412378,50.91, 3627180,  272236, 194170, 2003700, 1453848,18486877
"2021:Q2",143854881,779.73,161831764,877.17,17976883, 97.44,48055635,260.48,113776129,616.70,11352693,61.53,4350229,23.58,2273961,12.33,36836867,199.67,6492961,35.19,4725807,25.62,17286108,93.70,31122425,168.69,16598411,89.97,3018241,16.36,5718986,31.00,16688293, 90.46,14126082, 76.57, 9217583,49.96, 7505549, 3560568,  60843, 3079357,  953114,18449206
"2021:Q1",136349332,692.81,153609261,780.51,17259929, 87.70,44632503,226.78,108976758,553.73,10892406,55.35,4132490,21.00,2235033,11.36,33905843,172.28,6155218,31.28,4571442,23.23,17180967,87.30,28557919,145.11,15602349,79.28,3127625,15.89,5548759,28.19,16568694, 84.19,13354345, 67.86, 9036101,45.91, 5676013, 3134967,-608732, 1679684, 1531083,19680548
"2020:Q4",130673319,754.02,147765589,852.64,17092270, 98.63,42808158,247.01,104957431,605.63,10783195,62.22,4149026,23.94,2160049,12.46,32287148,186.30,6022274,34.75,4498736,25.96,16217562,93.58,26126390,150.76,14898912,85.97,3784398,21.84,5500717,31.74,16448200, 94.91,13024410, 75.15, 8956843,51.68, 8320505, 5770981, 230000, 1153632, 1268517,17330270
"2020:Q3",122352815,695.14,139175352,790.72,16822537, 95.58,41490669,235.73, 97684683,554.99,10651618,60.52,4107620,23.34,2063299,11.72,31236141,177.47,5869632,33.35,4384896,24.91,15567828,88.45,22097532,125.55,13156788,74.75,3754515,21.33,5300601,30.12,16364380, 92.97,12701794, 72.16, 8741245,49.66, 4832377, 2898999, 105481, 1231034,  654411,17601130
"2020:Q2",117520437,649.78,134084519,741.37,16564082, 91.58,40080886,221.61, 94003633,519.76,10500568,58.06,4062466,22.46,2001048,11.06,30062654,166.22,5700616,31.52,4317616,23.87,15408222,85.19,20026091,110.73,12329230,68.17,3924678,21.70,5024957,27.78,16281711, 90.02,12332903, 68.19, 8675841,47.97, 7657223, 5847431, -40226,  483112, 1297578,18086128
"2020:Q1",109863214,665.18,126420359,765.43,16557145,100.25,39594763,239.73, 86825596,525.70,10433093,63.17,4113119,24.90,2010933,12.18,29510214,178.67,5709536,34.57,4375013,26.49,14255433,86.31,16321335, 98.82,10186556,61.68,4296677,26.01,4693184,28.42,16198856, 98.08,12244093, 74.13, 8629463,52.25,-5800727,-7867894,-438717, 1026202, 1567514,16516203
"2019:Q4",115663941,706.83,132192163,807.84,16528222,101.01,38517398,235.38, 93674765,572.45,10391320,63.50,4192191,25.62,1944711,11.88,28571844,174.61,5671343,34.66,4274211,26.12,13348613,81.57,21144458,129.22,13231327,80.86,4379091,26.76,5049486,30.86,16120781, 98.52,12064705, 73.73, 8336304,50.94, 2870954, 2437388,  20888, -192543,  569912,16363691
"2019:Q3",112792987,695.31,129127617,796.00,16334630,100.69,38657110,238.30, 90470507,557.70,10321977,63.63,4124148,25.42,1888505,11.64,28729078,177.10,5624723,34.67,4303309,26.53,12780877,78.79,19704486,121.47,12233911,75.42,4491766,27.69,4915923,30.30,15982853, 98.53,12041089, 74.23, 8319602,51.29,  481455, -209094, 218304,   40058,  445226,16222057
"2019:Q2",112311532,698.67,128442699,799.02,16131167,100.35,38569781,239.94, 89872918,559.09,10230964,63.65,4052107,25.21,1848096,11.50,28702059,178.55,5586597,34.75,4281125,26.63,12526819,77.93,19780511,123.05,12366981,76.93,4447384,27.67,4742001,29.50,15845685, 98.57,11910800, 74.10, 8252737,51.34, 2897963,  934151, 483851, 1175339,  457867,16074939
"2019:Q1",109413569,683.95,125340543,783.51,15926974, 99.56,37343800,233.44, 87996743,550.07,10146937,63.43,3994470,24.97,1785567,11.16,27679965,173.03,5547932,34.68,4115903,25.73,12675730,79.24,19268741,120.45,11944600,74.67,4192435,26.21,4513099,28.21,15707680, 98.19,11527561, 72.06, 8166897,51.05, 5479855, 4068398, 377207,   45617, 1105130,15997304
"2018:Q4",103933714,659.02,119830597,759.82,15896883,100.80,37209025,235.93, 82621572,523.88,10121618,64.18,4007042,25.41,1768223,11.21,27750845,175.96,5471605,34.69,3986575,25.28,12291962,77.94,16641609,105.52,10503334,66.60,3989822,25.30,4338505,27.51,15569032, 98.72,11331966, 71.85, 7955341,50.44,-4470846,-4423354,  85696, -474989,  316890,15770966
